about,address,avg_rating,category,gym,num_review,rating,region,reviewer_date,text,user_id,user_name,zipcode
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,5,Hollywood,6/26/2012,"Wonderful Gym. I've been a member there for over 3 years now and I don't remember ever having anything to complain about. Staff is amazing, very helpful (Kren and Angle especially were very helpful) and always smiling, not like those jerks at other gyms nearby. classes are wonderful and now they have a limit of people who can attend the class so it is never crowded. Locker rooms and toilets are always kept EXTREMELY clean. I always see people cleaning. Members RE-RACK their freaking weights. At other gyms you find 50 Lbs dumbells in the cardio area by the elliptical machines. No exaggeration. The gym is not that huge but I never wait more than a minute or two to use any machine. Now and then they install new machines that I don't see anywhere else. Not to mention the music is fantastic so if I forgot my headphones at home I wouldn't have any problem. I just wished that had steam/dry sauna room like the one downtown",86xKGGo7AMwN6DIZXEA3FQ,Bryan J.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,2,Hollywood,8/1/2011,"The staff at this Gold's location is, for the most part, very friendly and as helpful as they can. Unfortunately, I can't say the same for a particular Spinning instructor named...ADAM! I've taken his class twice and...What an A-hole!!!!!! He's arrogant  and acts as if he's above everyone else there. So unprofessional! He does things like arrange people's bikes to his desired position, regardless of personal needs or preference (the person next to me once couldn't reach the pedals after Adam ""arranged"" it for them) then proceeds to VERBALY ABUSE anyone that doesn't follow his instructions, i.e., not fast enough, hard enough or standing and sitting when he demands - and this is to anyone there - regardless of age or fitness level, woman or man. He's threatening and just vicious to individual people in class, making fools out of them if he doesn't fell they meet his standards. He THREATENS people to leave the class if they cannot keep up saying that ""it's his class and you can leave if you don't like it!"". Spinning classes are for ANY fitness level and people should go at their own pace, not the selfish instructor's pace. He's arrogant and evil, and probably crazy too. DO NOT ATTEND ADAM'S SPIN CLASS if you have any self respect! ADAM SHOULD BE FIRED!!!!!!",RhOuc7yVcfyQAf_6jg6K6Q,Jac O.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,4,Hollywood,8/5/2013,"a giant vote for integrity, kindness and cool...i was a member a while ago, and was only going to re-up because i had a ridiculously low rate...(i like running in the hills and surfing, about the opposite of a gym...) but anyway. when i tried to renew, the rate was about the opposite of my ridiculous rate, so i tried to fix it. called corporate, bla bla bla. gave up because i just didn't want to go anyway...then i messed up my achilles so couldn't run...and needed a gym while i healed...long story longer, i went in to golds thinking i could do a month while i healed...but when i got there, the month cost waaaaay too much, and i just didn't want to buy a year when i wouldn't use it...but karen came out from the back and not only made it better, she made it amazing. she just hated that i was going to leave unhappy (nb: not unhappy, but not willing to pay so much for something i don't use)...anyway, i'm back there now...and the facility is as i remember it: clean, lots and lots of gear, lots and lots of machines, and everyone just does their thing...and karen??? truly amazing. she truly loves this place, and she really cares that you have a good experience. and that is seriously cool.",P2KG-eW8efPBzm_6ytbrdQ,Jill S.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,5,Hollywood,9/26/2012,"First, I must say that the gym is great, all the equipment, TV's, Tanning, everything was clean and looked good, as expected.",uSydu28cfKV-HPVd9hLHRA,Billy H.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,2,Hollywood,4/10/2009,"I had a great session with Jennifer at her 12pm cycling class last Monday.  I tried going back today & was told that there was a $6 fee for the class.  The associate behind the front desk said this was because ""the bikes break very easily"".  ",GxEGHX5GrrynI7HQZQn8hg,Matt J.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,4,Hollywood,8/4/2009,"This gym is great to work out in. It has a very ""electric"" atmosphere and very positive energy. Prolly because it'sover 80% gay. But that's cool, I'm straight and love working out there. It gets to be a little community/ home away from home once you get to know a lot of the regulars there. The place is real chill. Of course you have your occasional queens with an attitude but not very often.",Ce73_6v7ULey3L-fg5uUow,Spartacus A.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,5,Hollywood,7/30/2012,"In addition to a great array of equipment and a good workout environment, Gold's Hollywood has uncommonly friendly and responsive management.  When my 88-year-old Dad visited from out of town, the manager and staff went out of their way to make him feel welcome.  I was really impressed.",zpypQTtJOd13_YNAAsm2kQ,Dave F.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,5,Hollywood,7/5/2012,"When I lived in Los Angeles I was a member at this Gold's Gym location. Now whenever I am in town, this is where I go for a great workout. The staff is friendly and accommodating and Karen, the manager, is absolutely amazing. The gym is always impeccably clean and there are always machines available.",bnIQwrl7jXYWn1J8JYYeYw,Kathryn M.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,5,Hollywood,9/20/2011,"I have nothing but good things to say about this gym.  The vibe is awesome.  The spin classes jam.  The machines are always in prime condition (I've belonged to other gyms where the machines were kept in icky, dirty condition - but not at this Gold's).  The weights are always aplenty. The trainers, staff and managers go out of their way to make me feel special, always greeting me with smiles. My personal fave, Karen, is not only a true rock star, she is a sweetheart and will work with you to make sure your time at the gym is perfect.  I'm very very sad to cancel my membership, but due to family illness, I've relocated to a town where there is no Gold's.  I'll miss you guys.  But I'll be back.",SZySv6XrNRTc6WNivgyBrQ,Betty N.,90038
"Amenities available at Gold's Gym Hollywood include:

Latest Cardio Equipment with Personal TV's & iPod Docks
Group Exercise Instructors Teaching World Class Programs
State of the Art Strength Training Equipment
Functional Training Area
Heavy Bags Area
Certified Personal Trainers
Supplement Store 
Nutrition Programs
Tanning Center 
Juice Bar/Coffee Café
Great Pro Shop
Unlimited FREE Parking",1016 Cole Ave,4.0,"Gyms,Trainers",Gold's Gym Hollywood,903,5,Hollywood,1/26/2012,"Gold's is a great gym - always clean, friendly and knowledgeable staff, all the equipment you could desire, opens early and closes late.",UfBr7KX39gUMDS89K6FZ8g,Kit W.,90038
