about,address,avg_rating,category,gym,num_review,rating,region,reviewer_date,text,user_id,user_name,zipcode
"Our gym is proud to focus on results for our clients. We want to help each person that steps in the gym with their individual needs and educate them on best practices. After our initial evaluation we will design and prescribe your personal workout program. If you value your time and want a program that not only gives you a workout routine but also a nutrition plan, we are the place for you!",2242 South Sepulveda Blvd,5.0,Trainers,Sirens and Titans Fitness,26,5,West Los Angeles,9/11/2017,"these guys are great, i've been looking for an efficient way to get in shape and this nails it. i go twice a week for 30/45 minutes a pop and am in better shape after a month than i've been in a long time. personal attention without hovering. with this kinda low time commitment and quick result it's a perfect fit for me.",1nxs3dxls_5X8u8KoEZIiw,gabriel m.,90064
"Our gym is proud to focus on results for our clients. We want to help each person that steps in the gym with their individual needs and educate them on best practices. After our initial evaluation we will design and prescribe your personal workout program. If you value your time and want a program that not only gives you a workout routine but also a nutrition plan, we are the place for you!",2242 South Sepulveda Blvd,5.0,Trainers,Sirens and Titans Fitness,26,5,West Los Angeles,4/3/2016,"Fabulous workout! Jacques is incredibly knowledgeable and patient. The FUBAR workout is not easy but the trainers are very encouraging, as it takes time to see results. You may be sore after the first few classes, but I guarantee your body and mind will adapt and, as you continue to attend, you will feel better than ever before. By far, one of my favorite workouts.",5W4TrsEHvRYwFvvQNKEMsw,RB ..,90064
"Our gym is proud to focus on results for our clients. We want to help each person that steps in the gym with their individual needs and educate them on best practices. After our initial evaluation we will design and prescribe your personal workout program. If you value your time and want a program that not only gives you a workout routine but also a nutrition plan, we are the place for you!",2242 South Sepulveda Blvd,5.0,Trainers,Sirens and Titans Fitness,26,5,West Los Angeles,4/28/2015,"Great fitness experience the owner Jacque has a wealth of knowledge on health and fitness. His studio is state of the art, and has top of the line training equipment- lot I had never seen. Yesterday was my first FUBAR class and it was 30 minutes of high intensity, but don't worry Jacque is there to push you through it. My body is sore and feeling the effects of it! I'll be back!",4AXfTumZfXtgb3gaC7riAg,morgan K.,90064
"Our gym is proud to focus on results for our clients. We want to help each person that steps in the gym with their individual needs and educate them on best practices. After our initial evaluation we will design and prescribe your personal workout program. If you value your time and want a program that not only gives you a workout routine but also a nutrition plan, we are the place for you!",2242 South Sepulveda Blvd,5.0,Trainers,Sirens and Titans Fitness,26,5,West Los Angeles,4/22/2016,"S&TF is truly amazing. I've tried many programs out there (Camp Gladiator, LA Fitness, etc.) and S&TF is the only thing that works. These guys know what they're doing! Whatever your fitness goal may be, these guys will help you meet them. I started S&TF to prepare for my wedding. I wanted to lose weight and tone and I did exactly that! Losing weight has always been a challenge for me but I was able to change my body composition with S&TF. I ended up looking 30 lbs lighter just in time for my wedding. I wouldn't have been able to do it without their fitness coaching + guidance. I have also drastically changed my diet due to these guys. I'm eating clean now and it's a lifestyle change/shift. I have no one but S&TF to thank for it. I highly recommend them. I did both the FUBAR Versa Climber (30 min. workout) and small group Strength & Conditioning class (40 min. workout) with them. Extremely time-efficient workouts. Because of S&TF, I can't do an hour long workout anymore! Don't waste your time and money with any other program...really. Thank you Jacques + Rob!",5XfAT5a7LA17zSqZjZp4Bg,Wendy W.,90064
"Our gym is proud to focus on results for our clients. We want to help each person that steps in the gym with their individual needs and educate them on best practices. After our initial evaluation we will design and prescribe your personal workout program. If you value your time and want a program that not only gives you a workout routine but also a nutrition plan, we are the place for you!",2242 South Sepulveda Blvd,5.0,Trainers,Sirens and Titans Fitness,26,5,West Los Angeles,10/15/2014,"Definitely try Sirens & Titans!  Knowledgeable and friendly staff, short 30-minute and VERY effective/efficient workouts, flexible training times, plenty of coaching and one-on-one attention, both weights and cardio, valuable nutritional counseling - I LOVE IT and cannot speak highly enough of S&TF.  And I'm picky :o).",URtgDMOrND5sRNT-wwIBRA,Michelle D.,90064
"Our gym is proud to focus on results for our clients. We want to help each person that steps in the gym with their individual needs and educate them on best practices. After our initial evaluation we will design and prescribe your personal workout program. If you value your time and want a program that not only gives you a workout routine but also a nutrition plan, we are the place for you!",2242 South Sepulveda Blvd,5.0,Trainers,Sirens and Titans Fitness,26,5,West Los Angeles,10/10/2014,"these are the reasons i love this place--short intense workouts, nutritional counseling, massage equipment, nice people, and results! i've tried just about every type of workout out there, different gyms, and several trainers. everything works for a short while, but i really had to find something sustainable that didn't make me feel like i was just doing exercises. Sirens is my new favorite place!",3zNAuFsm_sDxLjOeOXFPuw,lili y.,90064
Our goal is to teach everyone to become Independent when it comes to working out. We don't want people relying on a Personal Trainer in order to workout at a gym. We will give you the knowledge and motivation to train on a daily basis without the dependence of a trainer. We believe being fit is not just how we look on the outside but a lifestyle that positively affects every aspect of our lives.,11567 Santa Monica Bld,5.0,"Trainers,Boot Camps,Gyms",Revolution Sport LA,36,5,Sawtelle,2/2/2017,I was struggling to get myself back into a regular workout schedule so I decided to join my roommate and get trained by Toby from Revolution Sport LA.  That ended up being one of the best decisions I've made in 2016!  Toby worked very closely with me to figure out my goals and what I was looking to achieve and crafted a workout plan to help me get there.  I'm especially proud and happy to share that within 3 months I hit my first set of goals!  I've also gotten numerous comments from family and friends about how great my body is looking these days.,blXHbA0lohioiDBEVZ3jRA,Bryant H.,90025
Our goal is to teach everyone to become Independent when it comes to working out. We don't want people relying on a Personal Trainer in order to workout at a gym. We will give you the knowledge and motivation to train on a daily basis without the dependence of a trainer. We believe being fit is not just how we look on the outside but a lifestyle that positively affects every aspect of our lives.,11567 Santa Monica Bld,5.0,"Trainers,Boot Camps,Gyms",Revolution Sport LA,36,5,Sawtelle,1/20/2017,"I'm a fellow gym owner and was so inspired by both Toby and Hannah when I met them the other day. They are smart, personable, and really care about all their clients. The ability to provide both small group personal training and at home personal training is something I've tried to mirror for a while now, but they have it down! I recommend Toby and Hannah to anyone that is serious about their goals and wants to take their fitness to the next level. 5 stars!",p5I8QJiImG_40o78RCqk4w,Dylan C.,90025
Our goal is to teach everyone to become Independent when it comes to working out. We don't want people relying on a Personal Trainer in order to workout at a gym. We will give you the knowledge and motivation to train on a daily basis without the dependence of a trainer. We believe being fit is not just how we look on the outside but a lifestyle that positively affects every aspect of our lives.,11567 Santa Monica Bld,5.0,"Trainers,Boot Camps,Gyms",Revolution Sport LA,36,5,Sawtelle,7/23/2016,If Someone asked me what I wanted from a personal trainer Hannah would be the total package! She was able to push me beyond my limits and help me become stronger. Every training session I had with her was unique and was custom to my needs. I learned new exercises and ways to tone my body that were actually fun and challenging. She challenged me to use certain machines in the gym that I would normally avoid. I was able to not only learn the correct form on the machines but also be comfortable to use them in my normal routine. If I was feeling pain in a certain area or sore she could easily adjust the exercises. I was able to lose 15 pounds in 2 months which was a great accomplishment for me. ,DfIRoXQhljUVy82MKBuD-Q,Erin S.,90025
Our goal is to teach everyone to become Independent when it comes to working out. We don't want people relying on a Personal Trainer in order to workout at a gym. We will give you the knowledge and motivation to train on a daily basis without the dependence of a trainer. We believe being fit is not just how we look on the outside but a lifestyle that positively affects every aspect of our lives.,11567 Santa Monica Bld,5.0,"Trainers,Boot Camps,Gyms",Revolution Sport LA,36,5,Sawtelle,6/20/2016,"I've struggled with weight loss for most of my life. At my worst point, I was obese and I was extremely unhappy with my weight. I was never interested in the idea of signing up for a personal trainer, but I was referred to Toby and Hannah by a close friend, so I decided I would give it a chance. That was back in 2014. I've been so happy with my progress from training with the both of them that I am currently still training with them. I started with 2 classes/week to 3 class/week now. Since I started training with them, I've lost 45 pounds and have dropped from the obese body weight category to the normal body weight category. ",amcvNneyY3D0FbF3oe8ylA,Crystal T.,90025
