about,address,avg_rating,category,gym,num_review,rating,region,reviewer_date,text,user_id,user_name,zipcode
"Unstoppable Greatness can Help you Transform your Life through exercise, yoga, nutrition, and mediation. Training with Unstoppable Greatness will allow you to be the Best version of yourself!","Los Angeles, CA 90068",5.0,Yoga,Unstoppable Greatness,2,5,Hollywood Hills,2/26/2020,"Gene is so positive and motivating, he got me to run my fastest mile ever! He is by far my favorite coach. His energy and spirit are so infectious, you'll find yourself doing things you didn't realize you were capable of and it will be fun!",HwJ2laHUwBAmICot7FcvUw,Susan S.,90068
"Unstoppable Greatness can Help you Transform your Life through exercise, yoga, nutrition, and mediation. Training with Unstoppable Greatness will allow you to be the Best version of yourself!","Los Angeles, CA 90068",5.0,Yoga,Unstoppable Greatness,2,5,Hollywood Hills,8/9/2019,"I've had the privilege to work out with Gene since December 2016. I first met him as a group fitness instructor at a local fitness studio and he was far and away one of the best fitness instructors I had ever encountered. It should go without saying that he was great at the fundamentals of his job - he understands movement, how to exercise safely, can offer relevant modifications, understands the importance of good form, proper timing, gives clear, concise instructions, etc. - but he also has a great personality and infectious enthusiasm that makes him a pleasure to work out with. And it's not just me - everyone loved his classes. ",N-DPBcX1IOxNEAcrIjn2zg,Kevin D.,90068
"Swim coach, swim lessons, swim instructor","Los Angeles, CA 90210",1.0,"Swimming Lessons,Schools",Eli Swim Services,2,1,Beverly Crest,2/1/2018,Eli stole our money!!! He made me,WXjWYkgxmzsu6YIHF13Www,Dan G.,90210
"Swim coach, swim lessons, swim instructor","Los Angeles, CA 90210",1.0,"Swimming Lessons,Schools",Eli Swim Services,2,1,Beverly Crest,10/5/2018,"Most unprofessional instructor I have ever encountered. He showed up very late the few times that he did show up and without communicating his tardiness. The last several times, he did not show up whatsoever and would say things like ""10 minutes"" but would never arrive. We eventually stopped using him and took our losses because he wouldn't come. Unbelievable experience. How is this guy in business?",QMIVimcz00W-3p3TDrXOqA,Dana L.,90210
Established in 2017. Inspiring today's youth to participate in the greatest game on earth.,800 N Fairfax Ave,2.5,"Golf Equipment,Golf Lessons",Malbon Golf,7,5,Fairfax,6/19/2018,"I love this store. I checked it out on a recent trip to LA and I am glad I did. They have very high quality clothes and a great logo. The sales rep was really friendly and knowledge about the apparel and got me out fitted from head to toe.  If you're a golfer, man or woman,be sure to check them out.  You'll be happy you did.",BujN1gJ9RA-bCSlos_MYpA,Ron F.,90046
Established in 2017. Inspiring today's youth to participate in the greatest game on earth.,800 N Fairfax Ave,2.5,"Golf Equipment,Golf Lessons",Malbon Golf,7,1,Fairfax,6/9/2020,"Where can I begin?!?! Well let's start by saying I'm going to keep this as civil as possible but I can no longer keep quite about this place. Terrible service and a rotating staff so you really don't know who to talk to when it comes to serious issues like spending 2k on golf lessons which started off great but after my fourth lesson my golf coach was let go and I was never notified via email nor call to inform me of the change. Finally when I contacted the store they were in the process of a new golf coach which by that time I did not want the lessons because of the way I was handled or just the fact I wasn't given the option on a refund but here is the kicker it's been 2 years !!! Smh ! I've tried to resolve the issue with 2 personal friends of the owner Steven Malbon and I was told ""Invest In Golf"" which was relayed to me which is there Instagram hashtag! Really! Fast forward I was diagnosed with Covid 19 and went thru a real hardship so since services were never rendered and I was charged I asked for a refund again or exchange of clothing they sell @ the store and again  I was rejected!!! I'm a minority I'm not rich I work hard and given the situation and this guy claiming to bring golf to younger generations and inner city yeah right!Just another greedy white guy trying to get over I bet if I was one of these celebrities he hob nobs with I would have been taken care of ....",giiVNIoGJoPUy-F66xEa9A,Frank L.,90046
Established in 2017. Inspiring today's youth to participate in the greatest game on earth.,800 N Fairfax Ave,2.5,"Golf Equipment,Golf Lessons",Malbon Golf,7,1,Fairfax,9/18/2019,"I don't understand this place, they barely have anything in the store. Nothing you'd want to buy. It seems like the only people interested were overseas visitors that were willing to buy anything.",Gf63HVoYKnXJfJOt1OH9dQ,Sam E.,90046
Established in 2017. Inspiring today's youth to participate in the greatest game on earth.,800 N Fairfax Ave,2.5,"Golf Equipment,Golf Lessons",Malbon Golf,7,1,Fairfax,10/14/2019,They have cool stuff but you will have to deal with a bunch of production/ customer service issues. One order of mine took over a month to receive because of problems they have with shipping. Another order of mine didn't fit so they took a month to send the credit. I've never dealt with this many issues from any company on simple orders. They weren't custom orders or anything of that sort. Had to contact them on multiple social media platforms and emails and they would never respond. I'd recommend not dealing with this company. Even though they have cool stuff I'm not going to be purchasing anything from them anymore.,SJAAyQjgv61mlf1QO4s5bA,Asif V.,90046
Established in 2017. Inspiring today's youth to participate in the greatest game on earth.,800 N Fairfax Ave,2.5,"Golf Equipment,Golf Lessons",Malbon Golf,7,1,Fairfax,12/20/2018,"This place is the worst. I was sent a holiday present from Malbon. The item was faulty. They had zero interest in helping to facilitate an exchange, telling me they would call me or email---nothing. After numerous calls and two emails, I finally reached someone who reluctantly effected a return, and credit to the gift giver. Hard to explain how a place can be in business on the web and provide no service. Stay away.",SZC3ELZd7yrh9qgAVOVeFw,Sam W.,90046
Established in 2017. Inspiring today's youth to participate in the greatest game on earth.,800 N Fairfax Ave,2.5,"Golf Equipment,Golf Lessons",Malbon Golf,7,5,Fairfax,12/18/2017,Great customer experience. Came in on Saturday and a really nice girl helped me out. Not a huge selection which is expected from a boutique. None the less ended up buying some great stuff for Holiday gifts. Will return.,9T3HQ5IeYPW2B2H7U__U4A,Kyle M.,90046
