about,address,avg_rating,category,gym,num_review,rating,region,reviewer_date,text,user_id,user_name,zipcode
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,5/12/2020,"I love this place and can't wait till it finally opens after quarantine. Last year about this time I started taking classes with them and OMG not only I lost wait and got an amazing stretching ability, but also my posture changed drastically, my back paun went away and neck became all of a sudden so long! And interesting that I started feeling actually feeling my body and understanding it more. Just huge love to this and if you are in doubt, well DON'T BE!!!!",1TSK0TVrwJs6GcWtDXy3jA,Anila N.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,12/29/2019,"I've been to SM now maybe 5 times and I am hooked. Decent street parking, friendly and genuine receptionist and instructors (love Alexis and Andrea), hip hop slow jams. At first worried it wasn't going to be much of a workout bc it's stretching and I got my first 2 classes for $20, but it's no joke if you are hoping to push yourself. I think most the classes are a 15 min warm up, then deep long stretches for 40, then a 5 min cool off. That routine wakes up your body like I have never known!",56riXl8s7uGH_i7WXP5yuQ,Sade X.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,4,,1/7/2020,Where did you park?,0QWg3fr3krMQLg1eHs9Ajw,Marie H.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,3/3/2020,One of the best classes that I've ever taken! I finally got to try out this wonderful session this morning and it was even better than I imagined! An hour went by so fast with the steady smooth instructions by Andrea. Andrea is very sweet and gave plenty of attention to each of us in the class which was super motivating. I will definitely be here everyday! Thank you guys!!,WR-Pvtnp4JaWnDSecp_VoQ,Hae C.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,3/7/2020,WOW - I thought I was flexible until i came here! I'm so happy I found this studio because I NEED TO STRETCH MORE! Great instructor who pushes you to the limit (literally).,3tBxXado8KQybdo0zfQgaw,Andrea F.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,7/23/2019,It's seriously the best. ,PhrM-v2O--kPpR16YUOd1A,Eun H.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,3/7/2020,What an amazing experience here at SM Stretching! Will definitely be back  ,HRJPNhBMJhjolE30SvYU0A,Kasey D.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,8/2/2019,Good thing the music is turned up so loud; drowns out my cries of pain and OW OW OW...,CjDh_geZo9fX0Ndi3vnQMQ,Amy M.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,1/10/2020,"I took the Barre class with Alexis and it was great! It was a steady pace and good for all levels. I like that it used body weight, light weights, sliders, and balls. It was a great workout and I will definitely be back. The studio is nice and spacious as well with lockers and a bathroom.",_J55FHlMzabHcyNIyDVMQw,Lani G.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,2/22/2020,Its was a great class! I enjoyed it a lot. It was my first class and I loved it . It's worth trying,VOd3Ev-gHBuF47R9BoTzTQ,Kristina A.,90211
"Our stretching class offers an intimate stretch space to noticeably and safely improve flexibility. Class starts with a 15-minute workout to warm up the muscles and work the legs, glutes, and core, followed by 45 minutes of intensive stretching to further lengthen and strengthen your muscles. We also offer two additional class formats, one to focus on muscles associated middle splits and back, and one to focus on muscles associated with front splits and back. 

The Barre class is a mix of ballet, yoga, and fitness. Classes are done at the Barre and use light weights, sliders, and mini exercise balls. Barre is aimed at developing all muscle groups, as well as improving flexibility and posture. The perfect class to improve stamina, strength, and overall health.",111 N La Cienega Blvd,5.0,Trainers,SM Stretching,30,5,,3/7/2020,"I didn't have any idea how tight my muscles were until I took a stretching class! I do yoga and workout regularly, but have totally been neglecting stretching! This class was the perfect remedy! Will def be back!",p5kUz4yL9NEWevL12K-rFg,T C.,90211
