about,address,avg_rating,category,gym,num_review,rating,region,reviewer_date,text,user_id,user_name,zipcode
"A training facility for all athletes! We focus on developing and empowering athletes with our fully equipped weight room and 5,000+ sq feet of turf space. We also have a fully loaded baseball and softball batting cage that can be rented out for team practice or where you can schedule a 1on1 with one of our many coaches! Call or email us for pricing and availability.",3490 S Broadway St,5.0,"Trainers,Batting Cages,Venues,Event Spaces",Power Sports Training,7,5,Historic South Central,2/7/2020,"Beautiful facility, all of their equipment is new and ready to use. Coach Jose opened up the schedule to have my son get a hitting session in. Lots of motivation from all the coaches. Great location and a secure location for parents. I recommend this location for any athlete willing to put in the work. ",inaPvptlTD8ZDmi_YhTftQ,Steve A.,90007
"A training facility for all athletes! We focus on developing and empowering athletes with our fully equipped weight room and 5,000+ sq feet of turf space. We also have a fully loaded baseball and softball batting cage that can be rented out for team practice or where you can schedule a 1on1 with one of our many coaches! Call or email us for pricing and availability.",3490 S Broadway St,5.0,"Trainers,Batting Cages,Venues,Event Spaces",Power Sports Training,7,5,Historic South Central,1/10/2020,Beautiful facility and service with a smile! Our first experience for my daughters soccer team and she can't wait to go back!,BsUWQArN_TcI8mkNnkP2Ag,LaMexican A.,90007
"A training facility for all athletes! We focus on developing and empowering athletes with our fully equipped weight room and 5,000+ sq feet of turf space. We also have a fully loaded baseball and softball batting cage that can be rented out for team practice or where you can schedule a 1on1 with one of our many coaches! Call or email us for pricing and availability.",3490 S Broadway St,5.0,"Trainers,Batting Cages,Venues,Event Spaces",Power Sports Training,7,5,Historic South Central,12/7/2019,I had the opportunity to take my softball team to power sports training and the facilities are tops in the area tons of space. Jose and Jules were super friendly. I will definitely be going back with my team.,M-TegsAPH8ktDjWkPi89NQ,Tone A.,90007
"A training facility for all athletes! We focus on developing and empowering athletes with our fully equipped weight room and 5,000+ sq feet of turf space. We also have a fully loaded baseball and softball batting cage that can be rented out for team practice or where you can schedule a 1on1 with one of our many coaches! Call or email us for pricing and availability.",3490 S Broadway St,5.0,"Trainers,Batting Cages,Venues,Event Spaces",Power Sports Training,7,5,Historic South Central,12/10/2019,My son would like to live here! ,PBrL-3AZygOqka0WY0m4nA,E P.,90007
"A training facility for all athletes! We focus on developing and empowering athletes with our fully equipped weight room and 5,000+ sq feet of turf space. We also have a fully loaded baseball and softball batting cage that can be rented out for team practice or where you can schedule a 1on1 with one of our many coaches! Call or email us for pricing and availability.",3490 S Broadway St,5.0,"Trainers,Batting Cages,Venues,Event Spaces",Power Sports Training,7,5,Historic South Central,12/8/2019,Great new concept for training and conditioning as well as teaching the kids one to one or group lessons. Proper strengthening and stretching is a life long skill to instill in our kids. My sons are currently doing baseball and happy to get hands on tips from the coaches.,di4B_B8r_zSx7lcQ2Lr1pQ,Talita C.,90007
"A training facility for all athletes! We focus on developing and empowering athletes with our fully equipped weight room and 5,000+ sq feet of turf space. We also have a fully loaded baseball and softball batting cage that can be rented out for team practice or where you can schedule a 1on1 with one of our many coaches! Call or email us for pricing and availability.",3490 S Broadway St,5.0,"Trainers,Batting Cages,Venues,Event Spaces",Power Sports Training,7,5,Historic South Central,1/14/2020,"My son attended a couple of days of Winter Camp and he LOVED it!  He had packed days of a variety of drills and sports activities and was looking forward to additional times he would be able to go back. The coaches were positive, encouraging and inspired my son to want to do more.  I definitely saw an improvement in my son's confidence level because he didn't dismiss the idea of signing up for a sport at our local park (he wasn't up for this in the past). Looking forward to what other events PSTLA will offer kids!",tKB9YxpXpciGSHMC4aYrIQ,Rebecca H.,90007
"A training facility for all athletes! We focus on developing and empowering athletes with our fully equipped weight room and 5,000+ sq feet of turf space. We also have a fully loaded baseball and softball batting cage that can be rented out for team practice or where you can schedule a 1on1 with one of our many coaches! Call or email us for pricing and availability.",3490 S Broadway St,5.0,"Trainers,Batting Cages,Venues,Event Spaces",Power Sports Training,7,5,Historic South Central,12/7/2019,"Great staff and friendly coaches, they gets down and works with you! Daughter had a blast, didn't want to go home! Thank you for the experience, we will be back!!",HEGB5hJG9ElL73zeVgjUPA,Jeanette Y.,90007
"Row House, a boutique fitness rowing concept was first created in New York City with a specific objective: To give people of all different shapes, sizes, an ultimate calorie burning, full-body workout in an environment that's inclusive. Rowing uses 85% of your body's muscles (legs, core, arms) and is low-impact which builds up bodies instead of breaking them down.

Get up and row your way to a new mind and body. At Row House, each synchronized group fitness experience champions a sense of purpose; one that provides a fun, team-oriented environment that encompasses a true sense of community. Never rowed before? Don't worry, we will show you everything you need to know.",505 Colorado Ave,5.0,Gyms,Row House,4,5,,3/6/2020,Row House Santa Monica is awesome!   ,ZDTr4yZ02LUAlqfrfq63fA,Yamit Y.,90401
"Row House, a boutique fitness rowing concept was first created in New York City with a specific objective: To give people of all different shapes, sizes, an ultimate calorie burning, full-body workout in an environment that's inclusive. Rowing uses 85% of your body's muscles (legs, core, arms) and is low-impact which builds up bodies instead of breaking them down.

Get up and row your way to a new mind and body. At Row House, each synchronized group fitness experience champions a sense of purpose; one that provides a fun, team-oriented environment that encompasses a true sense of community. Never rowed before? Don't worry, we will show you everything you need to know.",505 Colorado Ave,5.0,Gyms,Row House,4,5,,2/27/2020,"Had an excellent full house row class with Brooke! She was a great instructor and gave me a lot of attention before the class started to be sure I had perfect form. She had excellent energy during class and was a joy to spend 45 minutes with, sure made the workout go by fast!",PfDcTLvq7AQukbPAfSBL-A,Julie G.,90401
"Row House, a boutique fitness rowing concept was first created in New York City with a specific objective: To give people of all different shapes, sizes, an ultimate calorie burning, full-body workout in an environment that's inclusive. Rowing uses 85% of your body's muscles (legs, core, arms) and is low-impact which builds up bodies instead of breaking them down.

Get up and row your way to a new mind and body. At Row House, each synchronized group fitness experience champions a sense of purpose; one that provides a fun, team-oriented environment that encompasses a true sense of community. Never rowed before? Don't worry, we will show you everything you need to know.",505 Colorado Ave,5.0,Gyms,Row House,4,5,,1/22/2020,"I've been looking for a convenient place to workout in the morning before work and oh my god Row House delivers.  I've never tried real rowing before, just a bit on machines in other circuit training classes, but the full body workout here is real.  A couple of points that contribute to the 5 star review:",I91O74BC3zVSfp6fCFyWgQ,Ross H.,90401
